Sno,CusID,Date,Dairy Product Consumed,Category,Buying Frequency,Online Buying Preference,Expected Delivery Time,Preferred Time Slot,Discount Expectations,Preferred Billing Type,Buying Farm Fresh Fruits Online
1,C3,1/1/2000,Highland Vanilla Flavoured Milk,HotVannilaMilk,Once Every 2-3 days,1,24,6 AM to 12 Noon,Yes,Prepaid,Yes
2,C5,1/1/2000,Highland Processed Cheese,Cheese,Once Every 2-3 days,8,6,6 AM to 12 Noon,No,Prepaid,Yes
3,C4,1/2/2000,Ambewela Vanilla Flavoured Milk,ColdVannilaMilk,Once Every 2-3 days,4,12,6 PM to 11 PM,No,Instant,Yes
4,C10,1/3/2000,Highland Chocolate Flavoured Milk,HotChocolateMilk,Once Every 2-3 days,2,24,6 AM to 12 Noon,Maybe,Instant,Maybe
5,C8,1/3/2000,Highland Cheese Spread,Cheese,Once Every 2-3 days,5,6,6 AM to 12 Noon,Yes,Instant,Maybe
6,C1,1/3/2000,Anchor Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,4,6,6 AM to 12 Noon,Yes,Instant,Maybe
7,C6,1/3/2000,Elephant House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,6,24,6 AM to 12 Noon,Yes,Instant,Yes
8,C8,1/4/2000,Elephant House Vanilla Ice Cream,Ice Cream,Once Every 2-3 days,7,24,6 AM to 12 Noon,Yes,"Postpaid, Instant",Maybe
9,C5,1/4/2000,Highland Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,5,24,6 AM to 12 Noon,Yes,Prepaid,Maybe
10,C10,1/4/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,8,24,6 AM to 12 Noon,Yes,Instant,Yes
11,C9,1/4/2000,Milo,HotChocolateMilk,Once Every 2-3 days,4,6,6 AM to 12 Noon,No,"Postpaid, Instant",Yes
12,C5,1/5/2000,Pelawatte Full Cream Milk Powder,CreamMilkPowder,Once Every 2-3 days,7,6,Anytime would do,Maybe,Prepaid,Yes
13,C10,1/5/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,3,6,6 AM to 12 Noon,Yes,Instant,Yes
14,C10,1/8/2000,Ambewela Vanilla Yoghurt,Yoghurt,Once a day,2,12,6 PM to 11 PM,Yes,Instant,Yes
15,C8,1/8/2000,Highland Butter,Butter,Once Every 2-3 days,6,12,6 PM to 11 PM,Yes,"Postpaid, Instant",Maybe
16,C8,1/9/2000,Elephant House Chocolate Ice Cream,Ice Cream,Once Every 2-3 days,2,24,6 AM to 12 Noon,Yes,Instant,Maybe
17,C9,1/10/2000,Milo,HotChocolateMilk,Once Every 2-3 days,7,24,Anytime would do,Maybe,Any would do,Maybe
18,C3,1/10/2000,Milo,HotChocolateMilk,Once Every 2-3 days,5,24,6 AM to 12 Noon,Maybe,Prepaid,Yes
19,C10,1/12/2000,Ambewela Chocolate Flavoured Milk,ColdChocolateMilk,Once Every 2-3 days,2,6,6 AM to 12 Noon,No,Instant,Maybe
20,C1,1/14/2000,Anchor Vanilla Yoghurt,Yoghurt,Once Every 2-3 days,7,12,6 AM to 12 Noon,Yes,Instant,Yes
